Month_id,Origin,0
2001-05,LGA,10290
2001-05,MSP,12298
2001-05,ORD,29401
2001-05,PHL,10406
2001-05,PHX,15770
2001-05,SEA,8890
2001-05,SFO,10580
2001-05,SLC,6489
2001-05,STL,14154
2001-06,ATL,20963
2001-06,BOS,11180
2001-06,CLT,10933
2001-06,CVG,5424
2001-06,DEN,11615
2001-06,DFW,26145
2001-06,DTW,12771
2001-06,EWR,10140
2001-06,IAH,10559
2001-06,LAS,11209
2001-06,LAX,19655
2001-06,LGA,9406
2001-06,MSP,12208
2001-06,ORD,28362
2001-06,PHL,9692
2001-06,PHX,15331
2001-06,SEA,9371
2001-06,SFO,10547
2001-06,SLC,6382
2001-06,STL,13752
2001-07,ATL,21758
2001-07,BOS,11699
2001-07,CLT,11413
2001-07,CVG,5593
2001-07,DEN,12159
2001-07,DFW,27245
2001-07,DTW,13358
2001-07,EWR,10626
2001-07,IAH,11245
2001-07,LAS,11699
2001-07,LAX,20436
2001-07,LGA,9898
2001-07,MSP,13269
2001-07,ORD,30024
2001-07,PHL,10046
2001-07,PHX,15935
2001-07,SEA,10107
2001-07,SFO,11060
2001-07,SLC,6618
2001-07,STL,14490
2001-08,ATL,21960
2001-08,BOS,11797
2001-08,CLT,11430
2001-08,CVG,5719
2001-08,DEN,12346
2001-08,DFW,27289
2001-08,DTW,13419
2001-08,EWR,10987
2001-08,IAH,11544
2001-08,LAS,11863
2001-08,LAX,20543
2001-08,LGA,10084
2001-08,MSP,13293
2001-08,ORD,29949
2001-08,PHL,10140
2001-08,PHX,16126
2001-08,SEA,10129
2001-08,SFO,11286
2001-08,SLC,6539
2001-08,STL,14481
2001-09,ATL,17043
2001-09,BOS,7641
2001-09,CLT,8383
2001-09,CVG,4511
2001-09,DEN,8236
2001-09,DFW,19865
2001-09,DTW,9900
2001-09,EWR,7395
2001-09,IAH,8389
2001-09,LAS,9848
2001-09,LAX,14846
2001-09,LGA,6326
2001-09,MSP,9355
2001-09,ORD,21585
2001-09,PHL,7488
2001-09,PHX,12938
2001-09,SEA,6925
2001-09,SFO,7823
2001-09,SLC,5320
2001-09,STL,11431
2001-10,ATL,18572
2001-10,BOS,8828
2001-10,CLT,8859
2001-10,CVG,4738
2001-10,DEN,9888
2001-10,DFW,22684
2001-10,DTW,11072
2001-10,EWR,8025
2001-10,IAH,9637
2001-10,LAS,11139
2001-10,LAX,15782
2001-10,LGA,7432
2001-10,MSP,10248
2001-10,ORD,25345
2001-10,PHL,8501
2001-10,PHX,14727
2001-10,SEA,7325
2001-10,SFO,8540
2001-10,SLC,5876
2001-10,STL,13158
2001-11,ATL,18267
2001-11,BOS,8177
2001-11,CLT,9338
2001-11,CVG,5142
2001-11,DEN,8569
2001-11,DFW,21517
2001-11,DTW,10519
2001-11,EWR,8030
2001-11,IAH,9711
2001-11,LAS,10494
2001-11,LAX,13997
2001-11,LGA,7355
2001-11,MSP,10361
2001-11,ORD,23915
2001-11,PHL,8787
2001-11,PHX,12945
2001-11,SEA,7163
2001-11,SFO,7840
2001-11,SLC,5693
2001-11,STL,11705
2001-12,ATL,19211
2001-12,BOS,8470
2001-12,CLT,9665
2001-12,CVG,5185
2001-12,DEN,8986
2001-12,DFW,22569
2001-12,DTW,10945
2001-12,EWR,8474
2001-12,IAH,9977
2001-12,LAS,10584
2001-12,LAX,14219
2001-12,LGA,7243
2001-12,MSP,11175
2001-12,ORD,24708
2001-12,PHL,8997
2001-12,PHX,13517
2001-12,SEA,7506
2001-12,SFO,7835
2001-12,SLC,5979
2001-12,STL,11697
2002-01,ATL,19012
2002-01,BOS,8759
2002-01,CLT,9621
2002-01,CVG,5095
2002-01,DEN,9181
2002-01,DFW,22863
2002-01,DTW,10901
2002-01,EWR,8384
2002-01,IAH,9979
2002-01,LAS,10619
2002-01,LAX,14311
2002-01,LGA,7531
2002-01,MSP,10854
2002-01,ORD,24806
2002-01,PHL,9053
2002-01,PHX,13716
2002-01,SEA,7432
2002-01,SFO,7899
2002-01,SLC,6010
2002-01,STL,11916
2002-02,ATL,17604
2002-02,BOS,8129
2002-02,CLT,8843
2002-02,CVG,4691
2002-02,DEN,8586
2002-02,DFW,20571
2002-02,DTW,10342
2002-02,EWR,7749
2002-02,IAH,9150
2002-02,LAS,9773
2002-02,LAX,13370
2002-02,LGA,6864
2002-02,MSP,10141
2002-02,ORD,23046
2002-02,PHL,8338
2002-02,PHX,12680
2002-02,SEA,7026
2002-02,SFO,7174
2002-02,SLC,5471
2002-02,STL,10635
2002-03,ATL,19854
2002-03,BOS,9024
2002-03,CLT,9812
2002-03,CVG,5201
2002-03,DEN,9787
2002-03,DFW,23305
2002-03,DTW,11750
2002-03,EWR,8747
2002-03,IAH,10247
2002-03,LAS,11043
2002-03,LAX,15032
2002-03,LGA,7693
2002-03,MSP,11353
2002-03,ORD,25537
2002-03,PHL,9084
2002-03,PHX,14762
2002-03,SEA,7956
2002-03,SFO,8017
2002-03,SLC,6037
2002-03,STL,11494
2002-04,ATL,19336
2002-04,BOS,9208
2002-04,CLT,9470
2002-04,CVG,5126
2002-04,DEN,9905
2002-04,DFW,22934
2002-04,DTW,11508
2002-04,EWR,8642
2002-04,IAH,10020
2002-04,LAS,10777
2002-04,LAX,14853
2002-04,LGA,7592
2002-04,MSP,11072
2002-04,ORD,26095
2002-04,PHL,8715
2002-04,PHX,14439
2002-04,SEA,7971
2002-04,SFO,8142
2002-04,SLC,5765
2002-04,STL,11254
2002-05,ATL,19707
2002-05,BOS,9255
2002-05,CLT,9669
2002-05,CVG,5243
2002-05,DEN,10393
2002-05,DFW,23744
2002-05,DTW,11780
2002-05,EWR,8675
2002-05,IAH,10235
2002-05,LAS,11092
2002-05,LAX,15518
2002-05,LGA,7743
2002-05,MSP,11656
2002-05,ORD,27219
2002-05,PHL,8916
2002-05,PHX,14733
2002-05,SEA,8591
2002-05,SFO,8428
2002-05,SLC,5878
2002-05,STL,11582
2002-06,ATL,19565
2002-06,BOS,9005
2002-06,CLT,9349
2002-06,CVG,5080
2002-06,DEN,10629
2002-06,DFW,23372
2002-06,DTW,11804
2002-06,EWR,8363
2002-06,IAH,10001
2002-06,LAS,10833
2002-06,LAX,15417
2002-06,LGA,7508
2002-06,MSP,12042
2002-06,ORD,27021
2002-06,PHL,8739
2002-06,PHX,14542
2002-06,SEA,9019
2002-06,SFO,8540
2002-06,SLC,5783
2002-06,STL,11276
2002-07,ATL,19962
2002-07,BOS,9493
2002-07,CLT,9722
2002-07,CVG,5265
2002-07,DEN,11152
2002-07,DFW,24302
2002-07,DTW,12388
2002-07,EWR,8741
2002-07,IAH,10268
2002-07,LAS,11073
2002-07,LAX,16033
2002-07,LGA,7811
2002-07,MSP,12890
2002-07,ORD,29004
2002-07,PHL,9154
2002-07,PHX,14831
2002-07,SEA,9684
2002-07,SFO,8990
2002-07,SLC,5973
2002-07,STL,11790
2002-08,ATL,20157
2002-08,BOS,9615
2002-08,CLT,9810
2002-08,CVG,5278
2002-08,DEN,11116
2002-08,DFW,24309
2002-08,DTW,12644
2002-08,EWR,8899
2002-08,IAH,10366
2002-08,LAS,11171
2002-08,LAX,16207
2002-08,LGA,7913
2002-08,MSP,12948
2002-08,ORD,29059
2002-08,PHL,9296
2002-08,PHX,15035
2002-08,SEA,9696
2002-08,SFO,9018
2002-08,SLC,6018
2002-08,STL,11242
2002-09,ATL,18217
2002-09,BOS,8930
2002-09,CLT,8968
2002-09,CVG,4769
2002-09,DEN,9815
2002-09,DFW,23021
2002-09,DTW,11242
2002-09,EWR,8130
2002-09,IAH,9558
2002-09,LAS,10809
2002-09,LAX,14994
2002-09,LGA,7415
2002-09,MSP,11541
2002-09,ORD,27517
2002-09,PHL,8723
2002-09,PHX,14200
2002-09,SEA,8475
2002-09,SFO,8201
2002-09,SLC,5640
2002-09,STL,10369
2002-10,ATL,19283
2002-10,BOS,9457
2002-10,CLT,8641
2002-10,CVG,5159
2002-10,DEN,10074
2002-10,DFW,23987
2002-10,DTW,11753
2002-10,EWR,8648
2002-10,IAH,10075
2002-10,LAS,11251
2002-10,LAX,15350
2002-10,LGA,8179
2002-10,MSP,12102
2002-10,ORD,29010
2002-10,PHL,9024
2002-10,PHX,14816
2002-10,SEA,8368
2002-10,SFO,8522
2002-10,SLC,5817
2002-10,STL,10742
2002-11,ATL,18180
2002-11,BOS,8466
2002-11,CLT,8074
2002-11,CVG,4833
2002-11,DEN,9156
2002-11,DFW,22387
2002-11,DTW,11189
2002-11,EWR,8010
2002-11,IAH,9387
2002-11,LAS,10600
2002-11,LAX,14457
2002-11,LGA,7739
2002-11,MSP,11399
2002-11,ORD,26106
2002-11,PHL,8442
2002-11,PHX,14001
2002-11,SEA,7502
2002-11,SFO,7624
2002-11,SLC,5473
2002-11,STL,9542
2002-12,ATL,18510
2002-12,BOS,8352
2002-12,CLT,7741
2002-12,CVG,4993
2002-12,DEN,9774
2002-12,DFW,23053
2002-12,DTW,11163
2002-12,EWR,8055
2002-12,IAH,9725
2002-12,LAS,10682
2002-12,LAX,14943
2002-12,LGA,7460
2002-12,MSP,11747
2002-12,ORD,26469
2002-12,PHL,8342
2002-12,PHX,14285
2002-12,SEA,7890
2002-12,SFO,7915
2002-12,SLC,5739
2002-12,STL,9457
2003-01,ATL,31697
2003-01,BOS,9720
2003-01,CLT,8162
2003-01,CVG,8206
2003-01,DEN,11215
2003-01,DFW,27520
2003-01,DTW,11127
2003-01,EWR,11917
2003-01,IAH,14574
2003-01,LAS,11471
2003-01,LAX,19032
2003-01,LGA,8718
2003-01,MSP,12136
2003-01,ORD,30447
2003-01,PHL,9042
2003-01,PHX,14470
2003-01,SEA,8193
2003-01,SFO,10243
2003-01,SLC,10541
2003-01,STL,9761
2003-02,ATL,27881
2003-02,BOS,8130
2003-02,CLT,7307
2003-02,CVG,6712
2003-02,DEN,10226
2003-02,DFW,23843
2003-02,DTW,10230
2003-02,EWR,10214
2003-02,IAH,13304
2003-02,LAS,10561
2003-02,LAX,17027
2003-02,LGA,7266
2003-02,MSP,11023
2003-02,ORD,26878
2003-02,PHL,7513
2003-02,PHX,13067
2003-02,SEA,7332
2003-02,SFO,9147
2003-02,SLC,9637
2003-02,STL,8591
2003-03,ATL,31514
2003-03,BOS,9762
2003-03,CLT,8606
2003-03,CVG,7648
2003-03,DEN,10979
2003-03,DFW,27632
2003-03,DTW,12079
2003-03,EWR,12648
2003-03,IAH,15414
2003-03,LAS,12032
2003-03,LAX,18986
2003-03,LGA,8705
2003-03,MSP,12713
2003-03,ORD,30275
2003-03,PHL,9114
2003-03,PHX,14606
2003-03,SEA,8214
2003-03,SFO,10257
2003-03,SLC,10775
2003-03,STL,9492
2003-04,ATL,29334
2003-04,BOS,9130
2003-04,CLT,8101
2003-04,CVG,7174
2003-04,DEN,10816
2003-04,DFW,26772
2003-04,DTW,11341
2003-04,EWR,11995
2003-04,IAH,14579
2003-04,LAS,11599
2003-04,LAX,17791
2003-04,LGA,8251
2003-04,MSP,11494
2003-04,ORD,28712
2003-04,PHL,8919
2003-04,PHX,14211
2003-04,SEA,7997
2003-04,SFO,9616
2003-04,SLC,9850
2003-04,STL,8881
2003-05,ATL,30093
2003-05,BOS,9183
2003-05,CLT,8734
2003-05,CVG,7058
2003-05,DEN,10988
2003-05,DFW,27700
2003-05,DTW,11643
2003-05,EWR,12468
2003-05,IAH,15274
2003-05,LAS,11851
2003-05,LAX,18265
2003-05,LGA,8628
2003-05,MSP,11704
2003-05,ORD,29618
2003-05,PHL,9100
2003-05,PHX,14289
2003-05,SEA,8528
2003-05,SFO,9919
2003-05,SLC,9637
2003-05,STL,8933
2003-06,ATL,29923
2003-06,BOS,9512
2003-06,CLT,8601
2003-06,CVG,7379
2003-06,DEN,11673
2003-06,DFW,27266
2003-06,DTW,11653
2003-06,EWR,12396
2003-06,IAH,15463
2003-06,LAS,11722
2003-06,LAX,18371
2003-06,LGA,8789
2003-06,MSP,12112
2003-06,ORD,30004
2003-06,PHL,8980
2003-06,PHX,13965
2003-06,SEA,9182
2003-06,SFO,10120
2003-06,SLC,10556
2003-06,STL,8991
2003-07,ATL,30471
2003-07,BOS,9748
2003-07,CLT,8805
2003-07,CVG,7669
2003-07,DEN,12636
2003-07,DFW,28121
2003-07,DTW,12036
2003-07,EWR,12796
2003-07,IAH,16385
2003-07,LAS,12114
2003-07,LAX,19163
2003-07,LGA,9017
2003-07,MSP,12727
2003-07,ORD,30147
2003-07,PHL,9134
2003-07,PHX,14342
2003-07,SEA,9924
2003-07,SFO,10671
2003-07,SLC,10905
2003-07,STL,9229
2003-08,ATL,31001
2003-08,BOS,9651
2003-08,CLT,8776
2003-08,CVG,7792
2003-08,DEN,12707
2003-08,DFW,27520
2003-08,DTW,11731
2003-08,EWR,12589
2003-08,IAH,15894
2003-08,LAS,12180
2003-08,LAX,19115
2003-08,LGA,8656
2003-08,MSP,12713
2003-08,ORD,30229
2003-08,PHL,9140
2003-08,PHX,14258
2003-08,SEA,9920
2003-08,SFO,10647
2003-08,SLC,10950
2003-08,STL,9072
2003-09,ATL,30102
2003-09,BOS,9274
2003-09,CLT,8346
2003-09,CVG,7618
2003-09,DEN,12038
2003-09,DFW,26492
2003-09,DTW,11201
2003-09,EWR,11585
2003-09,IAH,15034
2003-09,LAS,11853
2003-09,LAX,18040
2003-09,LGA,8437
2003-09,MSP,11438
2003-09,ORD,29252
2003-09,PHL,8728
2003-09,PHX,13533
2003-09,SEA,8697
2003-09,SFO,9843
2003-09,SLC,10518
2003-09,STL,8542
2003-10,ATL,31660
2003-10,BOS,9848
2003-10,CLT,9067
2003-10,CVG,7860
2003-10,DEN,12559
2003-10,DFW,28106
2003-10,DTW,11995
2003-10,EWR,13037
2003-10,IAH,15920
2003-10,LAS,12443
2003-10,LAX,18375
2003-10,LGA,9195
2003-10,MSP,12048
2003-10,ORD,30716
2003-10,PHL,9159
2003-10,PHX,14106
2003-10,SEA,8812
2003-10,SFO,10295
2003-10,SLC,10587
2003-10,STL,8978
2003-11,ATL,29918
2003-11,BOS,9085
2003-11,CLT,8624
2003-11,CVG,7675
2003-11,DEN,11734
2003-11,DFW,27568
2003-11,DTW,11266
2003-11,EWR,12131
2003-11,IAH,15459
2003-11,LAS,12033
2003-11,LAX,18051
2003-11,LGA,8634
2003-11,MSP,11210
2003-11,ORD,29895
2003-11,PHL,8566
2003-11,PHX,13472
2003-11,SEA,8097
2003-11,SFO,9865
2003-11,SLC,10118
2003-11,STL,4530
2003-12,ATL,30896
2003-12,BOS,8781
2003-12,CLT,8892
2003-12,CVG,7873
2003-12,DEN,12542
2003-12,DFW,29077
2003-12,DTW,11498
2003-12,EWR,12152
2003-12,IAH,16747
2003-12,LAS,12311
2003-12,LAX,19191
2003-12,LGA,8357
2003-12,MSP,11844
2003-12,ORD,31746
2003-12,PHL,8794
2003-12,PHX,14034
2003-12,SEA,8623
2003-12,SFO,10446
2003-12,SLC,10434
2003-12,STL,4648
2004-01,ATL,33615
2004-01,BOS,9667
2004-01,CLT,8868
2004-01,CVG,16747
2004-01,DEN,12510
2004-01,DFW,28801
2004-01,DTW,11554
2004-01,EWR,12216
2004-01,IAH,16169
2004-01,LAS,12598
2004-01,LAX,18899
2004-01,LGA,9936
2004-01,MSP,11901
2004-01,ORD,30168
2004-01,PHL,8906
2004-01,PHX,14038
2004-01,SEA,8254
2004-01,SFO,10479
2004-01,SLC,10941
2004-01,STL,4786
2004-02,ATL,31541
2004-02,BOS,9742
2004-02,CLT,8316
2004-02,CVG,16083
2004-02,DEN,11812
2004-02,DFW,26679
2004-02,DTW,11280
2004-02,EWR,12167
2004-02,IAH,15590
2004-02,LAS,12134
2004-02,LAX,17653
2004-02,LGA,9806
2004-02,MSP,11528
2004-02,ORD,30057
2004-02,PHL,8485
2004-02,PHX,13504
2004-02,SEA,7926
2004-02,SFO,9831
2004-02,SLC,10606
2004-02,STL,4699
2004-03,ATL,34671
2004-03,BOS,10641
2004-03,CLT,9067
2004-03,CVG,17469
2004-03,DEN,12817
2004-03,DFW,29207
2004-03,DTW,12457
2004-03,EWR,13340
2004-03,IAH,17253
2004-03,LAS,13337
2004-03,LAX,19277
2004-03,LGA,10529
2004-03,MSP,12688
2004-03,ORD,32218
2004-03,PHL,9132
2004-03,PHX,14599
2004-03,SEA,8717
2004-03,SFO,10901
2004-03,SLC,11487
2004-03,STL,5172
2004-04,ATL,33845
2004-04,BOS,10713
2004-04,CLT,8822
2004-04,CVG,17097
2004-04,DEN,12457
2004-04,DFW,28403
2004-04,DTW,12297
2004-04,EWR,13088
2004-04,IAH,16593
2004-04,LAS,12807
2004-04,LAX,18841
2004-04,LGA,10502
2004-04,MSP,11964
2004-04,ORD,31705
2004-04,PHL,8973
2004-04,PHX,14001
2004-04,SEA,8609
2004-04,SFO,10696
2004-04,SLC,11005
2004-04,STL,5004
2004-05,ATL,34536
2004-05,BOS,10760
2004-05,CLT,8784
2004-05,CVG,17517
2004-05,DEN,12743
2004-05,DFW,28970
2004-05,DTW,12051
2004-05,EWR,12661
2004-05,IAH,16850
2004-05,LAS,13195
2004-05,LAX,19189
2004-05,LGA,10392
2004-05,MSP,12254
2004-05,ORD,30821
2004-05,PHL,9490
2004-05,PHX,14142
2004-05,SEA,9251
2004-05,SFO,11084
2004-05,SLC,11556
2004-05,STL,5074
2004-06,ATL,33855
2004-06,BOS,11028
2004-06,CLT,8586
2004-06,CVG,17070
2004-06,DEN,13299
2004-06,DFW,27965
2004-06,DTW,12120
2004-06,EWR,12863
2004-06,IAH,16548
2004-06,LAS,12981
2004-06,LAX,19093
2004-06,LGA,10414
2004-06,MSP,12471
2004-06,ORD,30531
2004-06,PHL,9658
2004-06,PHX,13832
2004-06,SEA,9748
2004-06,SFO,10960
2004-06,SLC,11718
2004-06,STL,4947
2004-07,ATL,35485
2004-07,BOS,11561
2004-07,CLT,8678
2004-07,CVG,17391
2004-07,DEN,13895
2004-07,DFW,28948
2004-07,DTW,12524
2004-07,EWR,13197
2004-07,IAH,17393
2004-07,LAS,13337
2004-07,LAX,20160
2004-07,LGA,10275
2004-07,MSP,12861
2004-07,ORD,30854
2004-07,PHL,10135
2004-07,PHX,14071
2004-07,SEA,10321
2004-07,SFO,11365
2004-07,SLC,12091
2004-07,STL,4982
2004-08,ATL,36016
2004-08,BOS,11726
2004-08,CLT,8682
2004-08,CVG,17453
2004-08,DEN,13993
2004-08,DFW,29251
2004-08,DTW,12639
2004-08,EWR,13632
2004-08,IAH,17368
2004-08,LAS,13431
2004-08,LAX,20341
2004-08,LGA,10384
2004-08,MSP,12999
2004-08,ORD,31556
2004-08,PHL,10354
2004-08,PHX,14177
2004-08,SEA,10344
2004-08,SFO,11325
2004-08,SLC,12076
2004-08,STL,5116
2004-09,ATL,32718
2004-09,BOS,10693
2004-09,CLT,8431
2004-09,CVG,16491
2004-09,DEN,12549
2004-09,DFW,27528
2004-09,DTW,11579
2004-09,EWR,12074
2004-09,IAH,15860
2004-09,LAS,12888
2004-09,LAX,18828
2004-09,LGA,9731
2004-09,MSP,11315
2004-09,ORD,29667
2004-09,PHL,9878
2004-09,PHX,13608
2004-09,SEA,9102
2004-09,SFO,10535
2004-09,SLC,11428
2004-09,STL,4934
2004-10,ATL,35450
2004-10,BOS,11401
2004-10,CLT,9332
2004-10,CVG,17053
2004-10,DEN,12966
2004-10,DFW,28854
2004-10,DTW,12270
2004-10,EWR,13377
2004-10,IAH,16767
2004-10,LAS,13459
2004-10,LAX,19550
2004-10,LGA,10627
2004-10,MSP,11895
2004-10,ORD,30381
2004-10,PHL,11153
2004-10,PHX,14337
2004-10,SEA,9001
2004-10,SFO,10794
2004-10,SLC,11599
2004-10,STL,5295
2004-11,ATL,33888
2004-11,BOS,10570
2004-11,CLT,9140
2004-11,CVG,16595
2004-11,DEN,11991
2004-11,DFW,27073
2004-11,DTW,11883
2004-11,EWR,12818
